hand_no,Sayan(simple.defective),Sourjya(private.conservative),winner,ending_round
0,100,100,,-1
1,102,98,Sayan,0
2,103,97,Sayan,0
3,105,95,Sayan,0
4,106,94,Sayan,0
5,108,92,Sayan,0
6,109,91,Sayan,0
7,111,89,Sayan,0
8,112,88,Sayan,0
9,114,86,Sayan,0
10,115,85,Sayan,0
11,117,83,Sayan,0
12,118,82,Sayan,0
13,120,80,Sayan,0
14,121,79,Sayan,0
15,123,77,Sayan,0
16,124,76,Sayan,0
17,126,74,Sayan,0
18,127,73,Sayan,0
19,129,71,Sayan,0
20,130,70,Sayan,0
21,132,68,Sayan,0
22,133,67,Sayan,0
23,135,65,Sayan,0
24,136,64,Sayan,0
25,138,62,Sayan,0
26,139,61,Sayan,0
27,141,59,Sayan,0
28,142,58,Sayan,0
29,144,56,Sayan,0
30,145,55,Sayan,0
31,147,53,Sayan,0
32,148,52,Sayan,0
33,150,50,Sayan,0
34,151,49,Sayan,0
35,153,47,Sayan,0
36,154,46,Sayan,0
37,156,44,Sayan,0
38,157,43,Sayan,0
39,115,85,Sourjya,3
40,116,84,Sayan,0
41,118,82,Sayan,0
42,119,81,Sayan,0
43,121,79,Sayan,0
44,122,78,Sayan,0
45,124,76,Sayan,0
46,125,75,Sayan,0
47,127,73,Sayan,0
48,128,72,Sayan,0
49,130,70,Sayan,0
50,131,69,Sayan,0
51,133,67,Sayan,0
52,134,66,Sayan,0
53,136,64,Sayan,0
54,137,63,Sayan,0
55,139,61,Sayan,0
56,140,60,Sayan,0
57,142,58,Sayan,0
58,143,57,Sayan,0
59,145,55,Sayan,0
60,146,54,Sayan,0
61,148,52,Sayan,0
62,149,51,Sayan,0
63,151,49,Sayan,0
64,152,48,Sayan,0
65,154,46,Sayan,0
66,155,45,Sayan,0
67,157,43,Sayan,0
68,158,42,Sayan,0
69,160,40,Sayan,0
70,161,39,Sayan,0
71,163,37,Sayan,0
72,164,36,Sayan,0
73,166,34,Sayan,0
74,167,33,Sayan,0
75,169,31,Sayan,0
76,170,30,Sayan,0
77,172,28,Sayan,0
78,173,27,Sayan,0
79,175,25,Sayan,0
80,176,24,Sayan,0
81,178,22,Sayan,0
82,179,21,Sayan,0
83,181,19,Sayan,0
84,182,18,Sayan,0
85,184,16,Sayan,0
86,185,15,Sayan,0
87,187,13,Sayan,0
88,188,12,Sayan,0
89,190,10,Sayan,0
90,191,9,Sayan,0
91,193,7,Sayan,0
92,194,6,Sayan,0
93,196,4,Sayan,0
94,197,3,Sayan,0
95,199,1,Sayan,0
96,195,5,Sourjya,3
97,197,3,Sayan,0
98,198,2,Sayan,0
